Ano;Mês;Evolução Mensal (AnoMes);Unidade da Federação;Valor Arrecadado (R$)
1996;Janeiro;199601;Rondônia;5347841
1996;Janeiro;199601;Acre;3064935
1996;Janeiro;199601;Amazonas;26672342
1996;Janeiro;199601;Roraima;120905
1996;Janeiro;199601;Pará;32848407
1996;Janeiro;199601;Amapá;0
1996;Janeiro;199601;Tocantins;2198438
1996;Janeiro;199601;Maranhão;13092600
1996;Janeiro;199601;Piauí;8962176
1996;Janeiro;199601;Ceará;42500888
1996;Janeiro;199601;Rio Grande do Norte;16123447
1996;Janeiro;199601;Paraíba;13831697
1996;Janeiro;199601;Pernambuco;59197712
1996;Janeiro;199601;Alagoas;20251117
1996;Janeiro;199601;Sergipe;10866166
1996;Janeiro;199601;Bahia;79668445
1996;Janeiro;199601;Minas Gerais;236361014
1996;Janeiro;199601;Espírito Santo;47342533
1996;Janeiro;199601;Rio de Janeiro;389471745
1996;Janeiro;199601;São Paulo;1394188604
1996;Janeiro;199601;Paraná;164273991
1996;Janeiro;199601;Santa Catarina;108186385
1996;Janeiro;199601;Rio Grande do Sul;206602575
1996;Janeiro;199601;Mato Grosso do Sul;15812576
1996;Janeiro;199601;Mato Grosso;14956240
1996;Janeiro;199601;Goiás;37066040
1996;Janeiro;199601;Distrito Federal;134047365
1996;Fevereiro;199602;Rondônia;4497608
1996;Fevereiro;199602;Acre;2483465
1996;Fevereiro;199602;Amazonas;26477024
1996;Fevereiro;199602;Roraima;147890
1996;Fevereiro;199602;Pará;28765790
1996;Fevereiro;199602;Amapá;0
1996;Fevereiro;199602;Tocantins;2032304
1996;Fevereiro;199602;Maranhão;15330320
1996;Fevereiro;199602;Piauí;7605609
1996;Fevereiro;199602;Ceará;36427123
1996;Fevereiro;199602;Rio Grande do Norte;14513788
1996;Fevereiro;199602;Paraíba;14667360
1996;Fevereiro;199602;Pernambuco;56581020
1996;Fevereiro;199602;Alagoas;17169003
1996;Fevereiro;199602;Sergipe;10836275
1996;Fevereiro;199602;Bahia;76858139
1996;Fevereiro;199602;Minas Gerais;232747731
1996;Fevereiro;199602;Espírito Santo;46204525
1996;Fevereiro;199602;Rio de Janeiro;374838344
1996;Fevereiro;199602;São Paulo;1350222747
1996;Fevereiro;199602;Paraná;162398239
1996;Fevereiro;199602;Santa Catarina;103022858
1996;Fevereiro;199602;Rio Grande do Sul;193196733
1996;Fevereiro;199602;Mato Grosso do Sul;15714919
1996;Fevereiro;199602;Mato Grosso;14442374
1996;Fevereiro;199602;Goiás;35964450
1996;Fevereiro;199602;Distrito Federal;195355672
1996;Março;199603;Rondônia;4738872
1996;Março;199603;Acre;2359694
1996;Março;199603;Amazonas;22215209
1996;Março;199603;Roraima;126580
1996;Março;199603;Pará;25835842
1996;Março;199603;Amapá;0
1996;Março;199603;Tocantins;1721791
1996;Março;199603;Maranhão;13732400
1996;Março;199603;Piauí;7035321
1996;Março;199603;Ceará;34034435
1996;Março;199603;Rio Grande do Norte;13599322
1996;Março;199603;Paraíba;12795397
1996;Março;199603;Pernambuco;53040494
1996;Março;199603;Alagoas;15084523
1996;Março;199603;Sergipe;8750306
1996;Março;199603;Bahia;70996858
1996;Março;199603;Minas Gerais;214177434
1996;Março;199603;Espírito Santo;39714590
1996;Março;199603;Rio de Janeiro;335091705
1996;Março;199603;São Paulo;1262402105
1996;Março;199603;Paraná;148175511
1996;Março;199603;Santa Catarina;93598355
1996;Março;199603;Rio Grande do Sul;182293262
1996;Março;199603;Mato Grosso do Sul;15156717
1996;Março;199603;Mato Grosso;14285695
1996;Março;199603;Goiás;33000329
1996;Março;199603;Distrito Federal;184636366
1996;Abril;199604;Rondônia;4251572
1996;Abril;199604;Acre;2646337
1996;Abril;199604;Amazonas;20754962
1996;Abril;199604;Roraima;103819
1996;Abril;199604;Pará;23311066
1996;Abril;199604;Amapá;0
1996;Abril;199604;Tocantins;1601104
1996;Abril;199604;Maranhão;12455578
1996;Abril;199604;Piauí;6519358
1996;Abril;199604;Ceará;35204246
1996;Abril;199604;Rio Grande do Norte;12733509
1996;Abril;199604;Paraíba;11864631
1996;Abril;199604;Pernambuco;47527464
1996;Abril;199604;Alagoas;14729624
1996;Abril;199604;Sergipe;8593635
1996;Abril;199604;Bahia;63501069
1996;Abril;199604;Minas Gerais;189974730
1996;Abril;199604;Espírito Santo;37422764
1996;Abril;199604;Rio de Janeiro;320373215
1996;Abril;199604;São Paulo;1239565188
1996;Abril;199604;Paraná;147714057
1996;Abril;199604;Santa Catarina;86584076
1996;Abril;199604;Rio Grande do Sul;178802135
1996;Abril;199604;Mato Grosso do Sul;13770657
1996;Abril;199604;Mato Grosso;13593284
1996;Abril;199604;Goiás;32761000
1996;Abril;199604;Distrito Federal;165896047
1996;Maio;199605;Rondônia;4617896
1996;Maio;199605;Acre;3444322
1996;Maio;199605;Amazonas;24561630
1996;Maio;199605;Roraima;207745
1996;Maio;199605;Pará;29099521
1996;Maio;199605;Amapá;0
1996;Maio;199605;Tocantins;2199071
1996;Maio;199605;Maranhão;15500937
1996;Maio;199605;Piauí;7886582
1996;Maio;199605;Ceará;40154661
1996;Maio;199605;Rio Grande do Norte;14962206
1996;Maio;199605;Paraíba;15564372
1996;Maio;199605;Pernambuco;53971894
1996;Maio;199605;Alagoas;15344721
1996;Maio;199605;Sergipe;9640621
1996;Maio;199605;Bahia;76303184
1996;Maio;199605;Minas Gerais;253724400
1996;Maio;199605;Espírito Santo;40565239
1996;Maio;199605;Rio de Janeiro;354597572
1996;Maio;199605;São Paulo;1313913199
1996;Maio;199605;Paraná;120437634
1996;Maio;199605;Santa Catarina;106374660
1996;Maio;199605;Rio Grande do Sul;199210306
1996;Maio;199605;Mato Grosso do Sul;16759500
1996;Maio;199605;Mato Grosso;18323131
1996;Maio;199605;Goiás;39473543
1996;Maio;199605;Distrito Federal;204402291
1996;Junho;199606;Rondônia;7621861
1996;Junho;199606;Acre;3661832
1996;Junho;199606;Amazonas;26634036
1996;Junho;199606;Roraima;170221
1996;Junho;199606;Pará;29086072
1996;Junho;199606;Amapá;0
1996;Junho;199606;Tocantins;2109116
1996;Junho;199606;Maranhão;16021227
1996;Junho;199606;Piauí;8890850
1996;Junho;199606;Ceará;40249656
1996;Junho;199606;Rio Grande do Norte;15041416
1996;Junho;199606;Paraíba;15752278
1996;Junho;199606;Pernambuco;52595319
1996;Junho;199606;Alagoas;15869855
1996;Junho;199606;Sergipe;10036606
1996;Junho;199606;Bahia;78702690
1996;Junho;199606;Minas Gerais;241525400
1996;Junho;199606;Espírito Santo;44458358
1996;Junho;199606;Rio de Janeiro;369876974
1996;Junho;199606;São Paulo;1397141575
1996;Junho;199606;Paraná;136721646
1996;Junho;199606;Santa Catarina;103502262
1996;Junho;199606;Rio Grande do Sul;217311776
1996;Junho;199606;Mato Grosso do Sul;17295066
1996;Junho;199606;Mato Grosso;22286583
1996;Junho;199606;Goiás;34544631
1996;Junho;199606;Distrito Federal;220394643
1996;Julho;199607;Rondônia;4315544
1996;Julho;199607;Acre;3269068
1996;Julho;199607;Amazonas;25699957
1996;Julho;199607;Roraima;172526
1996;Julho;199607;Pará;30002957
1996;Julho;199607;Amapá;0
1996;Julho;199607;Tocantins;2435381
1996;Julho;199607;Maranhão;15264915
1996;Julho;199607;Piauí;8285968
1996;Julho;199607;Ceará;43006315
1996;Julho;199607;Rio Grande do Norte;16166141
1996;Julho;199607;Paraíba;15048249
1996;Julho;199607;Pernambuco;55040804
1996;Julho;199607;Alagoas;15122851
1996;Julho;199607;Sergipe;10372589
1996;Julho;199607;Bahia;79015383
1996;Julho;199607;Minas Gerais;256322272
1996;Julho;199607;Espírito Santo;43387713
1996;Julho;199607;Rio de Janeiro;367959460
1996;Julho;199607;São Paulo;1461220731
1996;Julho;199607;Paraná;220537678
1996;Julho;199607;Santa Catarina;111385561
1996;Julho;199607;Rio Grande do Sul;215202761
1996;Julho;199607;Mato Grosso do Sul;16972722
1996;Julho;199607;Mato Grosso;18966076
1996;Julho;199607;Goiás;48642870
1996;Julho;199607;Distrito Federal;228230283
1996;Agosto;199608;Rondônia;7348164
1996;Agosto;199608;Acre;3036509
1996;Agosto;199608;Amazonas;36777180
1996;Agosto;199608;Roraima;151985
1996;Agosto;199608;Pará;31503039
1996;Agosto;199608;Amapá;0
1996;Agosto;199608;Tocantins;2354074
1996;Agosto;199608;Maranhão;16107892
1996;Agosto;199608;Piauí;8603952
1996;Agosto;199608;Ceará;40912428
1996;Agosto;199608;Rio Grande do Norte;14408356
1996;Agosto;199608;Paraíba;15246191
1996;Agosto;199608;Pernambuco;58895065
1996;Agosto;199608;Alagoas;15742332
1996;Agosto;199608;Sergipe;10531317
